symbol,date,revenue,net_profit,ocf,pe_ttm,roe,total_assets,total_liabilities,debt_to_asset,market,currency
000651.SZ,1993-12-31,646777843.48,48583288.19,,,,616585729.24,428870660.16,0.6955572271979494,CN,CNY
000651.SZ,1994-12-31,1111473350.99,79305257.92,,,,848201173.13,633680846.2,0.7470879153133152,CN,CNY
000651.SZ,1995-12-31,2564104365.87,155172172.07,,,,1099235232.46,804542733.46,0.7319113413600273,CN,CNY
000651.SZ,1996-12-31,2841224249.44,186336216.91,,,,1842737238.92,1286708523.01,0.6982593588677461,CN,CNY
000651.SZ,1997-12-31,3451661951.11,198358706.07,,,,1979569598.19,1341338936.28,0.677591198362735,CN,CNY
000651.SZ,1998-12-31,3617840993.13,215077377.94,570394526.27,,,2925910268.41,1928120577.58,0.6589814453290738,CN,CNY
000651.SZ,1999-12-31,4907939501.4,229161235.93,349632758.65,,,3423855391.07,2337525913.1,0.68271747667751,CN,CNY
000651.SZ,2000-12-31,6177717129.96,249624577.9,865287935.53,,,5780229944.54,4136141106.51,0.7155668798984365,CN,CNY
000651.SZ,2001-12-31,6587976827.62,261289686.97,-31627195.97,,,6940279320.47,5200608071.51,0.749336998032784,CN,CNY
000651.SZ,2002-12-31,7029690860.93,297216557.72,735899928.72,,,7144348545.33,5114432163.59,0.7158710316468417,CN,CNY
000651.SZ,2003-12-31,10042382751.13,342820566.96,139088485.14,,,8289414478.19,6095331469.44,0.7353150799103148,CN,CNY
000651.SZ,2004-12-31,13832615003.23,420784332.48,135702726.97,,,12760655072.86,10244824593.41,0.802844723481258,CN,CNY
000651.SZ,2005-12-31,18264506959.03,507060090.21,773733376.11,,,12666240005.01,9883382369.96,0.7802933124629511,CN,CNY
000651.SZ,2006-12-31,26357915978.08,691741808.09,1732974175.37,,,16634577473.55,13085937495.94,0.7866708677600887,CN,CNY
000651.SZ,2007-12-31,38041313122.26,1269757864.51,2792790148.06,,,25547955384.38,19687819215.85,0.7706221073130226,CN,CNY
000651.SZ,2008-12-31,42199715679.53,1966518865.23,368544296.12,,,30564718943.81,22973670350.0,0.7516401636878998,CN,CNY
000651.SZ,2009-12-31,42637291053.26,2913450350.15,9449596083.21,,,51530250677.91,40877565403.67,0.7932731718922803,CN,CNY
000651.SZ,2010-12-31,60807242452.83,4275721624.27,615995032.63,,,65604378124.94,51592669903.95,0.7864211410661426,CN,CNY
000651.SZ,2011-12-31,83517252467.96,5236938608.43,3356159992.13,,,85211594207.3,66834439664.69,0.7843350460278603,CN,CNY
000651.SZ,2012-12-31,100110108848.26,7379666345.09,18408746271.56,,,107566899919.95,79986697791.3,0.7435995445701712,CN,CNY
000651.SZ,2013-12-31,120043070005.5,10870068311.47,12969837129.83,,,133719278987.4,98345524864.62,0.7354625721088941,CN,CNY
000651.SZ,2014-12-31,140005393975.58,14155167229.36,18939165507.73,,,156230948479.88,111099497469.7,0.711123490900446,CN,CNY
000651.SZ,2015-12-31,100564453646.56,12532442817.66,44378381827.68,,,161698016315.06,113131407737.14,0.6996462313842456,CN,CNY
000651.SZ,2016-12-31,110113101850.23,15463625768.05,14859952106.92,,,182373990389.46,127421835134.36,0.6986842524103927,CN,CNY
000651.SZ,2017-12-31,150019551611.75,22400484001.26,16338082774.25,,,214987907124.7,148133201565.19,0.6890303903431549,CN,CNY
000651.SZ,2018-12-31,200023997743.87,26202787681.42,26940791542.98,,,251234157276.81,158519445549.35,0.6309629521223626,CN,CNY
000651.SZ,2019-12-31,200508333611.34,24696641368.84,27893714093.59,,,282972157415.28,170924500892.2,0.6040329283752013,CN,CNY
000651.SZ,2020-12-31,170497415702.41,22175108137.32,19238637309.16,,,279217923628.27,162337436540.13,0.5814004861530809,CN,CNY
000651.SZ,2021-12-31,189654033523.5,23063732372.62,1894363258.72,,,319598183780.38,211672732613.87,0.6623089346444042,CN,CNY
000651.SZ,2022-12-31,190150672542.13,24506623782.46,28668435921.27,,,355070769579.7,253194721565.51,0.7130824141486457,CN,CNY
000651.SZ,2023-12-31,205018123834.21,29017387604.18,56398426354.17,,,368053902576.37,247407749159.93,0.6722052053465013,CN,CNY
000651.SZ,2024-12-31,190038071604.78,32184570372.28,29369250570.66,,,368031704522.86,226518009574.89,0.6154850432480065,CN,CNY
