symbol,date,pe,market,currency
000651.SZ,2016-02-29,8.1,CN,CNY
000651.SZ,2016-03-05,8.1,CN,CNY
000651.SZ,2016-03-10,8.1,CN,CNY
000651.SZ,2016-03-15,8.1,CN,CNY
000651.SZ,2016-03-20,8.1,CN,CNY
000651.SZ,2016-03-25,8.1,CN,CNY
000651.SZ,2016-03-30,8.1,CN,CNY
000651.SZ,2016-04-04,8.1,CN,CNY
000651.SZ,2016-04-09,8.1,CN,CNY
000651.SZ,2016-04-14,8.1,CN,CNY
000651.SZ,2016-04-19,8.1,CN,CNY
000651.SZ,2016-04-24,8.1,CN,CNY
000651.SZ,2016-04-29,9.23,CN,CNY
000651.SZ,2016-05-04,8.95,CN,CNY
000651.SZ,2016-05-09,8.95,CN,CNY
000651.SZ,2016-05-14,8.95,CN,CNY
000651.SZ,2016-05-19,8.95,CN,CNY
000651.SZ,2016-05-24,8.95,CN,CNY
000651.SZ,2016-05-29,8.95,CN,CNY
000651.SZ,2016-06-03,8.95,CN,CNY
000651.SZ,2016-06-08,8.95,CN,CNY
000651.SZ,2016-06-13,8.95,CN,CNY
000651.SZ,2016-06-18,8.95,CN,CNY
000651.SZ,2016-06-23,8.95,CN,CNY
000651.SZ,2016-06-28,8.95,CN,CNY
000651.SZ,2016-07-03,8.95,CN,CNY
000651.SZ,2016-07-08,8.25,CN,CNY
000651.SZ,2016-07-13,8.25,CN,CNY
000651.SZ,2016-07-18,8.25,CN,CNY
000651.SZ,2016-07-23,8.25,CN,CNY
000651.SZ,2016-07-28,8.25,CN,CNY
000651.SZ,2016-08-02,8.25,CN,CNY
000651.SZ,2016-08-07,8.25,CN,CNY
000651.SZ,2016-08-12,8.25,CN,CNY
000651.SZ,2016-08-17,8.25,CN,CNY
000651.SZ,2016-08-22,8.07,CN,CNY
000651.SZ,2016-08-27,8.07,CN,CNY
000651.SZ,2016-09-01,8.07,CN,CNY
000651.SZ,2016-09-06,10.47,CN,CNY
000651.SZ,2016-09-11,10.13,CN,CNY
000651.SZ,2016-09-16,9.76,CN,CNY
000651.SZ,2016-09-21,10.02,CN,CNY
000651.SZ,2016-09-26,9.79,CN,CNY
000651.SZ,2016-10-01,10.12,CN,CNY
000651.SZ,2016-10-06,10.12,CN,CNY
000651.SZ,2016-10-11,10.07,CN,CNY
000651.SZ,2016-10-16,9.99,CN,CNY
000651.SZ,2016-10-21,10.22,CN,CNY
000651.SZ,2016-10-26,10.3,CN,CNY
000651.SZ,2016-10-31,9.76,CN,CNY
000651.SZ,2016-11-05,9.76,CN,CNY
000651.SZ,2016-11-10,9.76,CN,CNY
000651.SZ,2016-11-15,9.76,CN,CNY
000651.SZ,2016-11-20,9.81,CN,CNY
000651.SZ,2016-11-25,11.86,CN,CNY
000651.SZ,2016-11-30,12.4,CN,CNY
000651.SZ,2016-12-05,11.27,CN,CNY
000651.SZ,2016-12-10,11.76,CN,CNY
000651.SZ,2016-12-15,10.78,CN,CNY
000651.SZ,2016-12-20,10.46,CN,CNY
000651.SZ,2016-12-25,10.49,CN,CNY
000651.SZ,2016-12-30,10.73,CN,CNY
000651.SZ,2017-01-04,10.95,CN,CNY
000651.SZ,2017-01-09,10.78,CN,CNY
000651.SZ,2017-01-14,10.53,CN,CNY
000651.SZ,2017-01-19,10.84,CN,CNY
000651.SZ,2017-01-24,11.03,CN,CNY
000651.SZ,2017-01-29,11.23,CN,CNY
000651.SZ,2017-02-03,11.06,CN,CNY
000651.SZ,2017-02-08,11.04,CN,CNY
000651.SZ,2017-02-13,11.81,CN,CNY
000651.SZ,2017-02-18,11.94,CN,CNY
000651.SZ,2017-02-23,12.16,CN,CNY
000651.SZ,2017-02-28,11.95,CN,CNY
000651.SZ,2017-03-05,11.89,CN,CNY
000651.SZ,2017-03-10,12.62,CN,CNY
000651.SZ,2017-03-15,12.76,CN,CNY
000651.SZ,2017-03-20,12.75,CN,CNY
000651.SZ,2017-03-25,13.74,CN,CNY
000651.SZ,2017-03-30,13.38,CN,CNY
000651.SZ,2017-04-04,13.81,CN,CNY
000651.SZ,2017-04-09,13.86,CN,CNY
000651.SZ,2017-04-14,13.37,CN,CNY
000651.SZ,2017-04-19,14.47,CN,CNY
000651.SZ,2017-04-24,14.16,CN,CNY
000651.SZ,2017-04-29,12.2,CN,CNY
000651.SZ,2017-05-04,12.07,CN,CNY
000651.SZ,2017-05-09,11.52,CN,CNY
000651.SZ,2017-05-14,12.22,CN,CNY
000651.SZ,2017-05-19,12.23,CN,CNY
000651.SZ,2017-05-24,12.47,CN,CNY
000651.SZ,2017-05-29,12.59,CN,CNY
000651.SZ,2017-06-03,12.38,CN,CNY
000651.SZ,2017-06-08,13.4,CN,CNY
000651.SZ,2017-06-13,13.81,CN,CNY
000651.SZ,2017-06-18,13.3,CN,CNY
000651.SZ,2017-06-23,14.79,CN,CNY
000651.SZ,2017-06-28,14.92,CN,CNY
000651.SZ,2017-07-03,14.97,CN,CNY
000651.SZ,2017-07-08,14.2,CN,CNY
