symbol,date,open,high,low,close,volume,turnover,market,currency
000651.SZ,2016-01-04,22.36,22.47,20.2,20.26,,699002.95,CN,CNY
000651.SZ,2016-01-05,19.9,21.25,19.8,20.85,,1027367.68,CN,CNY
000651.SZ,2016-01-06,20.97,21.1,20.51,21.02,,567109.98,CN,CNY
000651.SZ,2016-01-07,20.7,20.7,19.49,19.58,,231239.78,CN,CNY
000651.SZ,2016-01-08,20.22,20.71,19.11,20.25,,1036330.72,CN,CNY
000651.SZ,2016-01-11,19.9,20.45,19.3,19.39,,795588.8,CN,CNY
000651.SZ,2016-01-12,19.65,19.87,19.22,19.55,,506377.71,CN,CNY
000651.SZ,2016-01-13,19.7,19.86,19.2,19.3,,456655.06,CN,CNY
000651.SZ,2016-01-14,18.8,19.7,18.62,19.55,,658841.5,CN,CNY
000651.SZ,2016-01-15,19.24,19.63,18.6,18.8,,615356.0,CN,CNY
000651.SZ,2016-01-18,18.51,19.05,18.5,18.85,,382164.14,CN,CNY
000651.SZ,2016-01-19,18.8,19.86,18.76,19.66,,620490.25,CN,CNY
000651.SZ,2016-01-20,19.6,19.73,19.01,19.28,,450475.11,CN,CNY
000651.SZ,2016-01-21,19.02,19.4,18.71,18.71,,368874.74,CN,CNY
000651.SZ,2016-01-22,18.91,19.3,18.7,19.09,,336317.56,CN,CNY
000651.SZ,2016-01-25,19.24,19.46,19.05,19.23,,294238.13,CN,CNY
000651.SZ,2016-01-26,19.08,19.16,18.42,18.6,,448324.51,CN,CNY
000651.SZ,2016-01-27,18.76,18.92,17.93,18.48,,506478.39,CN,CNY
000651.SZ,2016-01-28,18.32,18.76,18.21,18.31,,327468.52,CN,CNY
000651.SZ,2016-01-29,18.4,18.9,18.26,18.73,,414142.98,CN,CNY
000651.SZ,2016-02-01,18.76,18.81,18.3,18.44,,284243.13,CN,CNY
000651.SZ,2016-02-02,18.49,19.08,18.49,18.96,,399428.51,CN,CNY
000651.SZ,2016-02-03,18.83,18.97,18.66,18.84,,283180.37,CN,CNY
000651.SZ,2016-02-04,18.96,19.29,18.86,19.0,,398269.52,CN,CNY
000651.SZ,2016-02-05,18.99,19.09,18.84,18.85,,226996.46,CN,CNY
000651.SZ,2016-02-15,18.45,18.83,18.37,18.64,,256903.56,CN,CNY
000651.SZ,2016-02-16,18.9,19.19,18.8,19.07,,469528.05,CN,CNY
000651.SZ,2016-02-17,19.09,19.31,19.02,19.2,,391569.57,CN,CNY
000651.SZ,2016-02-18,19.31,19.38,19.1,19.22,,460056.51,CN,CNY
000651.SZ,2016-02-19,19.19,19.28,19.1,19.22,,318912.75,CN,CNY
000651.SZ,2016-09-02,19.49,19.49,19.49,19.49,,36608.9,CN,CNY
000651.SZ,2016-09-05,21.44,21.44,21.44,21.44,,22323.09,CN,CNY
000651.SZ,2016-09-06,23.58,23.58,22.69,23.0,,4971955.32,CN,CNY
000651.SZ,2016-09-07,22.9,23.45,22.57,22.86,,2087907.45,CN,CNY
000651.SZ,2016-09-08,22.9,23.06,22.21,22.48,,1523132.29,CN,CNY
000651.SZ,2016-09-09,22.41,22.64,22.16,22.26,,1131333.26,CN,CNY
000651.SZ,2016-09-12,22.0,22.54,21.85,22.07,,1166370.22,CN,CNY
000651.SZ,2016-09-13,22.14,22.33,21.88,21.98,,886442.76,CN,CNY
000651.SZ,2016-09-14,21.9,21.96,21.4,21.43,,1121997.29,CN,CNY
000651.SZ,2016-09-19,21.42,22.23,21.41,22.09,,1213874.54,CN,CNY
000651.SZ,2016-09-20,22.1,22.36,21.93,22.02,,683515.71,CN,CNY
