symbol,date,revenue,net_profit,ocf,pe_ttm,roe,total_assets,total_liabilities,debt_to_asset,market,currency
603019.SH,2011-12-31,1422962874.68,123572630.05,178023245.2,,,1437977148.96,937512620.74,0.6519662857077005,CN,CNY
603019.SH,2012-12-31,1659788381.39,151414859.47,110797277.68,,,1876435031.48,1219089167.88,0.6496836540716617,CN,CNY
603019.SH,2013-12-31,1999660444.97,96687835.66,192325525.16,,,2512037771.74,1784136624.68,0.7102347921481259,CN,CNY
603019.SH,2014-12-31,2796751085.79,115844322.88,30752260.2,,,2920774874.92,1726325728.86,0.5910505954031408,CN,CNY
603019.SH,2015-12-31,3662113943.32,176893348.41,29869144.4,,,4621428817.44,3146762450.04,0.6809068308409263,CN,CNY
603019.SH,2016-12-31,4360148547.55,224250194.88,-241105633.85,,,6131604421.48,3053481746.29,0.49799066221447047,CN,CNY
603019.SH,2017-12-31,6294223394.82,308822733.01,41937995.78,,,10087454247.2,6652475585.04,0.6594801247189342,CN,CNY
603019.SH,2018-12-31,9056879481.38,430604628.31,631060300.1,,,13167304762.24,9116726650.8,0.6923760644580901,CN,CNY
603019.SH,2019-12-31,9526470351.47,593633044.81,3173782934.88,,,16769281027.02,12148004027.78,0.7244200874328584,CN,CNY
603019.SH,2020-12-31,10161133761.67,822381760.28,2315269005.37,,,20963979137.06,9009134876.27,0.42974355285174387,CN,CNY
603019.SH,2021-12-31,11268605628.21,1176393795.02,-522882997.36,,,26318444777.28,13160097321.28,0.5000332440859407,CN,CNY
603019.SH,2022-12-31,13007955200.9,1544304918.88,1124877783.58,,,31810543676.35,14070218256.97,0.44231303935338595,CN,CNY
603019.SH,2023-12-31,14352658228.13,1835900702.06,3509828147.53,,,31615458539.32,12134670654.24,0.3838208020658048,CN,CNY
603019.SH,2024-12-31,13147685135.79,1911152257.13,2721815770.05,,,36617491563.87,15290643033.33,0.41757756690294634,CN,CNY
