symbol,date,market_cap,market,currency
603019.SH,2025-02-26,1144.23,CN,CNY
603019.SH,2025-02-27,1117.74,CN,CNY
603019.SH,2025-02-28,1049.7,CN,CNY
603019.SH,2025-03-01,1049.7,CN,CNY
603019.SH,2025-03-02,1049.7,CN,CNY
603019.SH,2025-03-03,1031.27,CN,CNY
603019.SH,2025-03-04,1041.65,CN,CNY
603019.SH,2025-03-05,1047.95,CN,CNY
603019.SH,2025-03-06,1075.31,CN,CNY
603019.SH,2025-03-07,1054.68,CN,CNY
603019.SH,2025-03-08,1054.68,CN,CNY
603019.SH,2025-03-09,1054.68,CN,CNY
603019.SH,2025-03-10,1039.31,CN,CNY
603019.SH,2025-03-11,1034.78,CN,CNY
603019.SH,2025-03-12,1050.87,CN,CNY
603019.SH,2025-03-13,1024.83,CN,CNY
603019.SH,2025-03-14,1045.02,CN,CNY
603019.SH,2025-03-15,1045.02,CN,CNY
603019.SH,2025-03-16,1045.02,CN,CNY
603019.SH,2025-03-17,1043.41,CN,CNY
603019.SH,2025-03-18,1045.31,CN,CNY
603019.SH,2025-03-19,1031.41,CN,CNY
603019.SH,2025-03-20,1025.12,CN,CNY
603019.SH,2025-03-21,983.27,CN,CNY
603019.SH,2025-03-22,983.27,CN,CNY
603019.SH,2025-03-23,983.27,CN,CNY
603019.SH,2025-03-24,978.44,CN,CNY
603019.SH,2025-03-25,958.84,CN,CNY
603019.SH,2025-03-26,955.91,CN,CNY
603019.SH,2025-03-27,961.47,CN,CNY
603019.SH,2025-03-28,966.89,CN,CNY
603019.SH,2025-03-29,966.89,CN,CNY
603019.SH,2025-03-30,966.89,CN,CNY
603019.SH,2025-03-31,970.98,CN,CNY
603019.SH,2025-04-01,964.1,CN,CNY
603019.SH,2025-04-02,957.96,CN,CNY
603019.SH,2025-04-03,954.3,CN,CNY
603019.SH,2025-04-04,954.3,CN,CNY
603019.SH,2025-04-05,954.3,CN,CNY
603019.SH,2025-04-06,954.3,CN,CNY
603019.SH,2025-04-07,869.14,CN,CNY
603019.SH,2025-04-08,896.21,CN,CNY
603019.SH,2025-04-09,945.23,CN,CNY
603019.SH,2025-04-10,955.18,CN,CNY
603019.SH,2025-04-11,957.81,CN,CNY
603019.SH,2025-04-12,957.81,CN,CNY
603019.SH,2025-04-13,957.81,CN,CNY
603019.SH,2025-04-14,958.4,CN,CNY
603019.SH,2025-04-15,960.15,CN,CNY
603019.SH,2025-04-16,964.25,CN,CNY
603019.SH,2025-04-17,958.4,CN,CNY
603019.SH,2025-04-18,951.81,CN,CNY
603019.SH,2025-04-19,951.81,CN,CNY
603019.SH,2025-04-20,951.81,CN,CNY
603019.SH,2025-04-21,951.81,CN,CNY
603019.SH,2025-04-22,935.28,CN,CNY
603019.SH,2025-04-23,927.52,CN,CNY
603019.SH,2025-04-24,907.92,CN,CNY
603019.SH,2025-04-25,908.21,CN,CNY
603019.SH,2025-04-26,908.21,CN,CNY
603019.SH,2025-04-27,908.21,CN,CNY
603019.SH,2025-04-28,909.82,CN,CNY
