symbol,date,open,high,low,close,volume,turnover,market,currency
603019.SH,2024-01-02,39.39,40.08,39.09,39.11,,246385.0,CN,CNY
603019.SH,2024-01-03,39.1,39.36,37.9,38.42,,264739.0,CN,CNY
603019.SH,2024-01-04,38.2,38.96,37.9,38.94,,226438.0,CN,CNY
603019.SH,2024-01-05,38.68,38.75,37.0,37.23,,342918.0,CN,CNY
603019.SH,2024-01-08,37.0,37.0,35.8,35.8,,254990.0,CN,CNY
603019.SH,2024-01-09,36.0,36.47,34.8,35.39,,266248.0,CN,CNY
603019.SH,2024-01-10,35.29,35.3,34.27,34.3,,215305.0,CN,CNY
603019.SH,2024-01-11,34.27,35.43,34.26,35.34,,269921.0,CN,CNY
603019.SH,2024-01-12,35.02,35.21,34.26,34.28,,222824.0,CN,CNY
603019.SH,2024-01-15,33.97,34.11,32.53,32.62,,500976.0,CN,CNY
603019.SH,2024-01-16,32.5,32.74,31.63,32.13,,435476.0,CN,CNY
603019.SH,2024-01-17,32.1,32.68,31.8,31.83,,281490.0,CN,CNY
603019.SH,2024-01-18,31.4,32.91,31.18,32.89,,458735.0,CN,CNY
603019.SH,2024-01-19,32.68,33.2,32.5,32.51,,307947.0,CN,CNY
603019.SH,2024-01-22,32.91,33.3,31.56,32.0,,350340.0,CN,CNY
603019.SH,2024-01-23,31.7,33.68,31.7,33.4,,475287.0,CN,CNY
603019.SH,2024-01-24,33.44,33.73,32.36,33.64,,398674.0,CN,CNY
603019.SH,2024-01-25,33.61,35.19,33.21,34.99,,537115.0,CN,CNY
603019.SH,2024-01-26,34.88,34.97,33.88,33.99,,369727.0,CN,CNY
603019.SH,2024-01-29,34.14,34.63,33.1,33.61,,343518.0,CN,CNY
603019.SH,2024-01-30,33.2,34.09,32.68,32.86,,274132.0,CN,CNY
603019.SH,2024-01-31,32.66,32.84,31.31,31.35,,350634.0,CN,CNY
603019.SH,2024-02-01,31.0,32.9,30.34,31.98,,363368.0,CN,CNY
603019.SH,2024-02-02,31.9,32.3,29.0,30.79,,461567.0,CN,CNY
603019.SH,2024-02-05,30.3,31.41,28.72,30.1,,409965.0,CN,CNY
603019.SH,2024-02-06,29.55,32.83,29.51,32.4,,439360.0,CN,CNY
603019.SH,2024-02-07,32.3,33.38,32.1,32.65,,405647.0,CN,CNY
603019.SH,2024-02-08,33.2,34.25,33.18,34.0,,420773.0,CN,CNY
603019.SH,2024-02-19,36.01,37.4,35.18,37.4,,865297.0,CN,CNY
603019.SH,2024-02-20,36.9,37.45,36.48,36.58,,683703.0,CN,CNY
603019.SH,2024-02-21,35.86,37.1,35.71,36.12,,497427.0,CN,CNY
603019.SH,2024-02-22,38.5,39.73,38.49,39.14,,1201171.0,CN,CNY
603019.SH,2024-02-23,39.73,39.87,38.86,39.32,,901236.0,CN,CNY
603019.SH,2024-02-26,39.47,42.8,39.18,41.69,,1141289.0,CN,CNY
603019.SH,2024-02-27,41.07,45.86,40.8,45.86,,895780.0,CN,CNY
603019.SH,2024-02-28,50.21,50.45,47.54,47.56,,2620772.0,CN,CNY
603019.SH,2024-02-29,48.56,51.36,47.8,49.71,,2348190.0,CN,CNY
603019.SH,2024-03-01,48.95,54.0,48.71,53.5,,2145321.0,CN,CNY
603019.SH,2024-03-04,54.8,54.8,51.87,53.92,,1862161.0,CN,CNY
603019.SH,2024-03-05,52.59,56.8,51.8,52.94,,1858704.0,CN,CNY
603019.SH,2024-03-06,52.1,55.4,51.68,54.5,,1713587.0,CN,CNY
603019.SH,2024-03-07,54.01,54.65,51.8,52.07,,1465635.0,CN,CNY
603019.SH,2024-03-08,52.6,53.58,51.76,53.15,,1186345.0,CN,CNY
603019.SH,2024-03-11,51.8,55.12,51.6,55.12,,1426591.0,CN,CNY
603019.SH,2024-03-12,54.9,54.97,52.7,53.2,,1183153.0,CN,CNY
603019.SH,2024-03-13,54.02,54.24,51.56,51.62,,1224540.0,CN,CNY
603019.SH,2024-03-14,50.6,53.07,50.59,52.3,,1183551.0,CN,CNY
603019.SH,2024-03-15,52.03,52.55,50.87,52.46,,873247.0,CN,CNY
603019.SH,2024-03-18,52.3,53.71,51.98,53.3,,1177212.0,CN,CNY
603019.SH,2024-03-19,52.8,54.1,52.08,52.43,,874828.0,CN,CNY
603019.SH,2024-03-20,52.3,54.93,52.3,53.42,,1173258.0,CN,CNY
603019.SH,2024-03-21,53.08,54.02,52.18,52.26,,803350.0,CN,CNY
603019.SH,2024-03-22,52.3,54.68,52.3,54.09,,1408077.0,CN,CNY
603019.SH,2024-03-25,54.0,54.37,51.77,51.77,,1118744.0,CN,CNY
603019.SH,2024-03-26,51.63,52.93,48.38,48.77,,1458728.0,CN,CNY
603019.SH,2024-03-27,48.71,49.17,46.88,47.05,,930351.0,CN,CNY
603019.SH,2024-03-28,47.3,49.92,47.12,48.87,,1103207.0,CN,CNY
603019.SH,2024-03-29,48.37,48.49,46.85,47.75,,688075.0,CN,CNY
603019.SH,2024-04-01,48.35,49.5,47.98,48.89,,690567.0,CN,CNY
603019.SH,2024-04-02,48.75,49.06,47.18,47.54,,576369.0,CN,CNY
603019.SH,2024-04-03,47.25,47.45,45.89,46.05,,576502.0,CN,CNY
603019.SH,2024-04-08,45.8,46.9,45.79,45.9,,412734.0,CN,CNY
603019.SH,2024-04-09,45.9,46.07,44.68,45.48,,478818.0,CN,CNY
603019.SH,2024-04-10,45.4,45.4,43.71,43.93,,460364.0,CN,CNY
603019.SH,2024-04-11,43.96,45.17,43.95,44.38,,482854.0,CN,CNY
603019.SH,2024-04-12,45.04,46.19,45.0,45.0,,592906.0,CN,CNY
603019.SH,2024-04-15,45.02,46.19,44.73,45.6,,582599.0,CN,CNY
603019.SH,2024-04-16,45.1,47.37,44.85,46.01,,894511.0,CN,CNY
603019.SH,2024-04-17,46.53,48.0,45.8,47.99,,896397.0,CN,CNY
603019.SH,2024-04-18,47.18,47.89,46.22,46.75,,799053.0,CN,CNY
603019.SH,2024-04-19,46.35,46.69,44.31,44.67,,769633.0,CN,CNY
603019.SH,2024-04-22,42.2,42.98,41.93,42.51,,718340.0,CN,CNY
603019.SH,2024-04-23,42.88,43.12,41.8,41.88,,450558.0,CN,CNY
603019.SH,2024-04-24,42.4,44.44,42.12,44.21,,692655.0,CN,CNY
